The common badger is a small but fierce mammal. Its strong forelimbs are armed with long claws, used for both digging and self-defense.

Skills: Listen +3, Spot +3
Feats: Low-Light Vision, Track, Scent, Weapon Finesse

Progression:
PC Level    Bonus HD  Natural AC+  Str/Dex+  	Feat      			Special
1st-2nd     +0        +0           +0 (8/17)   	W Finesse			Link, share spells	
3rd-5th     +2        +2           +1 (9/18)	Imp. Nat. Attack	Evasion
6th-8th     +4        +4           +2 (10/19)  	Dodge	     		Devotion, +1 CON (16)
9th-11th    +6        +6           +3 (11/20)  	-          			Multiattack
12th-14th   +8        +8           +4 (12/21)	Mobility     		+1 CON (17)
15th-17th   +10       +10          +5 (13/22)	Imp. Crit     		Improved evasion
18th-20th   +12       +12          +6 (14/23)	-          			+1 CON (18)

Epic Progression:
PC Level    Bonus HD  Natural AC+  Str/Dex+  	Feat       		Special    
21st-23rd   +14       +14          +7 (15/24)  	WP Creature    	-
24th-26th   +16       +16          +8 (16/25)  	Spring Att    	+1 CON (19)
27th-29th   +18       +18          +9 (17/26)  	-          		-
30th-32nd   +20       +20          +10 (18/27)	Armor Skin    	+1 CON (20)
33rd-35th   +22       +22          +11 (19/28)	-          		-
36th-38th   +24       +24          +12 (20/29)	E Prowess    	+1 CON (21)
39th-40th   +26       +26          +13 (21/30) 	EWF Creature  	-
