Name,Infusion Level,Spell School,Components,Description,
Ablative Armor,Artificer 1,Abjuration,"S, M (shard of scrap metal)","Infuses armor to absorb 5 damage from the next attack (like DR 5/-), increasing by 1 per caster level (to a maximum of 15)",
"Armor Enhancement, Lesser",Artificer 1,Transmutation,"S, M (ointment of rare spices, 10 gp)",Grants a suit of armor or shield resistance 10 to one energy type (as with Protection from Energy) for 10 min/level when worn by a construct:contentReference,
Energy Alteration,Artificer 1,Transmutation,An alchemical ointment formed from materials representing all five energy types and costing 50 gp.,"You alter an item that employs an energy type or grants protection from an energy type, to employ or protect against a different energy type. ",
Enhancement Alteration,Artificer 1,Transmutation,,,
Identify,Artificer 1,,,,
Indisputable Possession,Artificer 1,Conjuration (Teleportation),"V, S","Creates a bond to a touched object: if it leaves your possession, you can call it back to your hand as a move action (a creature holding it gets a Will save to resist)",
Pending Potion,Artificer 1,Transmutation,"S, M (needles from an evergreen tree)",Destroys a prepared potion to delay its effect; the potion’s effect occurs up to 1 minute later when the caster speaks its name,
"Weapon Augmentation, Personal",Artificer 1,Transmutation,"S, M (ivy leaves and berries)","Gives a weapon one special ability up to +1 bonus (such as Flaming or Keen) for 10 min/level, only uable by caster.",
Lucky Blade,Artificer 2,Abjuration,"S, M (two-headed coin)",Imbues a weapon to let its wielder once reroll an attack roll (or critical confirmation) and must take the new result,
Reinforce Construct,Artificer 2,Transmutation,"V, S",Grants a target construct 1d6+1 temporary hit points per level (max +10) that last until the end of the next round,
Suppress Dragonmark,Artificer 2,Abjuration,"S, F (25 gp inversely charged Siberys shard)","An inversely attuned Siberys shard absorbs a creature’s dragonmark energy, preventing that target from using any dragonmark spell-like abilities for 24 hours (Will negates)",
"Weapon Augmentation, Lesser",Artificer 2,Transmutation,"S, M (ivy leaves and berries)",Gives a weapon one special ability up to +1 bonus (such as Flaming or Keen) for 10 min/level,
Adamantine Weapon,Artificer 3,Transmutation,"S, M (powdered adamantine)","Temporarily turns a metal weapon into adamantine for 10 min/level, letting it bypass hardness and ignore other special materials",
"Armor Enhancement, Greater",Artificer 3,Transmutation,"S, M (ointment of rare spices, 50 gp)","Grants a suit of armor or shield one special quality (equivalent to a +1 enhancement, e.g. light fortification) for 10 min/level",
Blast Rod,Artificer 3,Evocation,"S, F (rod to be infused)","Stores up to 1d8 per level of energy (max 10d8) in a rod, which can later be released as one or more ranged touch attack blasts",
Construct Energy Ward,Artificer 3,Abjuration,"S, M (ointment, 100 gp)",Grants a construct resistance 10 to a specified energy type for 10 min/level (as with Protection from that energy),
Lucky Cape,Artificer 3,Abjuration,"S, M (two-headed coin)",Imbues a cloak to let its wearer once reroll a saving throw and must take the new result,
Spell Snare,Artificer 3,Abjuration,"S, M (Eberron dragonshard 25 gp)",Enchants a dragonshard to absorb the next spell or spell-like ability of 3rd level or lower targeting its bearer; the spell is negated and the shard is destroyed.,
Total Repair,Artificer 3,Conjuration (Healing),"V, S",Repairs 10 points per level of damage to a construct (as if casting Repair Serious Damage multiple times),
Censure Elementals,Artificer 4,Abjuration,"S, M (kiln-hardened mud)",Imbues a held item so that all elementals within 20 ft take 2d4+1/level damage each round while it is wielded (Will halves; max +15),
Concurrent Infusions,Artificer 4,Transmutation,"S, M (oak twig with three forks)",Allows you to imbue an object with three chosen 1st-level infusions at once; these do not count against your daily infusion uses,
"Construct Energy Ward, Greater",Artificer 4,Abjuration,"S, M (ointment, 100 gp)","As lesser ward, but also grants one chosen special ability (up to +5 bonus value, e.g. etherealness) to the construct",
Repair Serious Damage,Artificer 4,Conjuration (Healing),"V, S",Restores 3d8+1 per level (max +15) hit points to a construct:contentReference[oaicite:22]{index=22}.,
Stone Construct,Artificer 4,Transmutation,"V, S",Turns a target into a living stone construct: it gains DR 10/adamantine and other construct traits,
Suppress Requirement,Artificer 4,Transmutation,"V, S","Removes a specific prerequisite (class, race, alignment, etc.) from an item so it functions fully without it.",
"Weapon Augmentation, Greater",Artificer 4,Transmutation,"S, M (ointment, 200 gp)",Gives a weapon one special ability up to +5 bonus (such as Vorpal) for 10 min/level:contentReference.,
Hardening,Artificer 5,Transmutation,"V, S",Increases an item’s hardness by 1 for every 2 caster levels of the infusion:contentReference,
Iron Construct,Artificer 5,Transmutation,"V, S",Enhances a construct: it gains DR 15/adamantine and takes only half normal damage from acid and fire,
Item Alteration,Artificer 5,Transmutation,"V, S",Changes an item’s granted bonus type: the item provides one type of bonus instead of another of equal value (e.g. a Strength bonus instead of a Dexterity bonus),
Slaying Arrow,Artificer 5,Transmutation,"S, M (drop of viper blood)","Imbues an arrow or bolt keyed to a chosen creature type: it gains +1 enhancement bonus, and a creature of that type struck must make a Fortitude save or be slain (undead/construct are also affected)",
Repair Critical Damage,Artificer 6,Conjuration (Healing),"V, S",Restores 4d8+1 per level (max +20) hit points to a construct:contentReference,
Rusting Grasp,Artificer 6,Transmutation,"V, S",Your touch causes metal to corrode: hit metal weapons or armor take 1d6 acid damage and may be destroyed on contact,
"Shield of Faith, Legions",Artificer 6,Abjuration,"V, S",Grants all allies within 30 feet a +3 sacred bonus to Armor Class,
"Spell Snare, Greater",Artificer 6,Abjuration,"S, M (Eberron dragonshard 100 gp)","As Spell Snare, but absorbs spells or abilities up to 6th level",
